Adult_ID,race,sex,income
731034740,White,Male,0
407421223,White,Male,0
332556822,White,Male,0
603455809,Black,Male,0
735271418,Black,Female,0
949732341,White,Female,0
965265846,Black,Female,0
529682640,White,Male,1
841211858,White,Female,1
996217613,White,Male,1
963079444,Black,Male,1
120732985,Asian-Pac-Islander,Male,1
577971914,White,Female,0
415809028,Black,Male,0
482204877,Asian-Pac-Islander,Male,1
351730626,Amer-Indian-Eskimo,Male,0
248837508,White,Male,0
908595691,White,Male,0
186467915,White,Male,0
451753915,White,Female,1
845654262,White,Male,1
893237791,Black,Female,0
823069608,Black,Male,0
577290578,White,Male,0
632869632,White,Female,0
543228247,White,Male,1
661982219,White,Male,0
693373533,Asian-Pac-Islander,Male,1
594884313,White,Male,0
973094820,White,Male,0
547947452,White,Male,0
919669061,Black,Male,0
193339134,White,Male,0
580568250,White,Male,0
112576255,Black,Male,0
155583722,White,Male,0
229859347,White,Male,0
453222271,White,Female,0
897860947,White,Male,1
653106260,White,Male,0
218029054,White,Male,0
389280931,White,Male,0
780383471,White,Male,0
573515826,White,Female,0
366445671,White,Male,0
940064651,Black,Male,1
533350182,White,Male,0
309630776,White,Female,0
647890230,White,Male,0
840645353,White,Male,0
541736308,Other,Female,0
415576516,White,Female,0
795175027,White,Female,1
329034433,White,Male,1
818733225,White,Male,0
108533368,White,Male,1
865183294,White,Male,0
494671451,White,Male,0
390523603,White,Male,0
104843502,White,Male,0
492715410,White,Male,0
716024458,White,Male,0
240902106,White,Male,0
698913340,White,Male,1
235355288,White,Male,0
336530646,White,Male,0
720377239,White,Female,0
799757113,White,Female,1
920315798,White,Male,1
725113138,White,Male,0
456470963,White,Male,0
951170242,Black,Female,0
121437003,White,Male,1
691030989,White,Male,0
557306824,White,Male,0
842952465,White,Male,0
883392656,White,Male,0
745748042,White,Male,0
761368463,White,Female,0
605364593,White,Male,0
715736379,White,Male,0
496416806,White,Male,0
916309384,White,Female,0
984353768,White,Male,0
106804534,White,Female,1
790221037,White,Female,0
620709409,White,Male,1
549955123,White,Male,0
707381996,White,Male,0
840370856,White,Female,1
966461871,White,Male,0
784213321,White,Female,0
468590367,Black,Female,0
676287681,Asian-Pac-Islander,Female,0
274421801,White,Male,1
246201466,White,Male,0
228980412,White,Male,1
697722896,White,Male,1
962134288,White,Female,0
790800245,Black,Male,0
948724602,White,Male,1
187890092,White,Male,1
533182295,White,Female,0
120608127,White,Female,0
580208334,White,Male,0
385537490,White,Male,1
688777580,White,Female,0
727206266,White,Male,0
159955682,White,Female,0
874246463,White,Male,0
606833992,White,Male,0
985851435,White,Male,1
133107420,White,Male,1
159071852,White,Female,0
519321036,White,Female,0
847722960,White,Male,0
543766255,White,Male,0
921573451,Black,Male,1
389742899,White,Male,0
935750513,White,Male,0
321090804,White,Female,0
872728320,White,Male,0
346907564,Black,Male,0
633891886,White,Male,1
101790174,Black,Male,0
543633510,White,Female,1
543094432,White,Female,0
435271016,White,Male,1
952682840,White,Male,0
322824793,White,Male,0
881323939,White,Female,0
748300748,White,Female,0
773456908,White,Male,0
336803098,White,Male,0
867238752,Black,Female,0
412281034,White,Male,1
588798718,White,Male,0
915251202,White,Female,0
427412609,White,Male,0
940263704,Asian-Pac-Islander,Male,1
533327086,White,Male,0
858816502,White,Female,0
904760644,White,Male,0
755131374,White,Female,1
646855453,White,Male,0
996028069,Black,Female,0
715709828,White,Male,0
398741271,White,Female,0
661125288,White,Male,0
361312670,White,Female,0
277921712,White,Female,0
336266535,White,Female,0
117676003,Asian-Pac-Islander,Female,0
893010126,White,Male,0
700246794,White,Male,1
226737105,White,Male,0
267428460,White,Male,0
794006456,Black,Male,0
316439684,White,Male,0
381851505,Black,Male,0
454181297,White,Female,0
525187623,White,Female,0
197485708,Asian-Pac-Islander,Female,0
866583092,Asian-Pac-Islander,Female,0
385920476,White,Male,1
529268108,White,Female,0
503340229,White,Male,0
132079791,White,Male,0
188347180,White,Male,0
209179309,White,Female,0
697982896,White,Male,0
338195619,White,Male,0
108233290,White,Male,1
547429427,White,Male,0
210070770,White,Male,1
352182895,White,Female,0
730010878,Black,Male,0
859167947,Black,Male,0
726503492,White,Male,0
328608140,White,Male,0
738722741,Black,Male,1
980838227,White,Female,0
777083481,Black,Male,0
102559166,White,Male,1
189568595,White,Male,1
416950138,Black,Male,0
604542413,White,Female,0
755842946,White,Female,0
319783018,White,Female,0
117118837,White,Male,1
271315081,Black,Female,0
889001559,White,Male,0
852926026,Black,Male,0
571179914,White,Male,0
535109005,White,Male,0
546040390,White,Male,0
915106927,White,Male,0
475045911,White,Female,1
773906657,White,Male,1
131073185,White,Male,0
792883903,White,Female,0
419530425,White,Male,0
428945372,White,Male,1
963375019,White,Female,0
283546539,White,Female,0
211825504,White,Female,0
220221470,Black,Male,1
613183554,White,Male,0
112807996,White,Female,1
853732936,White,Female,0
387780113,Black,Male,0
547094667,White,Male,1
255206162,Amer-Indian-Eskimo,Female,0
354369135,Asian-Pac-Islander,Male,0
450930317,White,Male,1
601158562,Black,Male,1
141849923,White,Female,0
520280787,White,Male,0
713116533,White,Male,0
641778128,White,Male,0
823906515,White,Male,0
747505238,White,Male,0
452547183,Black,Male,0
476685441,Black,Male,0
232391400,White,Female,0
851818679,White,Female,0
413940811,Amer-Indian-Eskimo,Female,0
802693219,White,Male,0
306034762,White,Female,0
965240822,White,Female,0
516930516,Black,Male,0
396759032,Black,Female,0
928558316,White,Male,0
263736760,Other,Female,0
776996123,White,Male,1
515358962,White,Male,0
496862709,White,Female,0
796016687,White,Male,1
324563110,White,Male,1
540515300,White,Male,0
300356962,White,Male,1
319792760,White,Female,0
911252659,White,Male,0
143390692,White,Male,0
541903054,White,Male,0
358151239,White,Male,0
702044098,White,Male,1
376899342,White,Female,0
778984168,White,Male,1
196477656,White,Male,0
299573824,White,Female,1
679270454,Black,Female,0
731850694,Black,Female,0
799283018,White,Male,0
160539683,White,Male,0
846332319,Asian-Pac-Islander,Male,1
579227913,White,Female,0
897891941,White,Female,0
884210182,White,Female,0
464247140,White,Male,0
442979633,White,Female,0
459999047,White,Male,0
993506894,White,Male,0
936332165,White,Male,0
677273259,White,Male,0
169242109,Asian-Pac-Islander,Male,1
274989203,White,Male,0
224659019,White,Male,1
277520295,White,Female,0
837411427,White,Female,1
349862395,White,Male,1
753045546,White,Male,0
321478754,White,Male,0
542131879,White,Male,0
371689155,White,Female,0
233188906,Black,Male,0
227667499,White,Male,1
713888827,White,Female,0
393361952,White,Female,0
833238773,White,Female,1
706588610,White,Female,0
642035484,White,Male,1
331387743,Black,Female,0
831216225,White,Female,0
891248753,White,Male,0
884086622,White,Male,1
